r_fighter,b_fighter
Marcus Aurelio,Luke Caudillo
Akihiro Gono,Tamdan McCrory
Frankie Edgar,Spencer Fisher
Roger Huerta,Clay Guida
Mac Danzig,Tommy Speer
War Machine,Jared Rollins
George Sotiropoulos,Billy Miles
Ben Saunders,Dan Barrera
Troy Mandaloniz,Richie Hightower
Matt Arroyo,John Kolosci
Roman Mitichyan,Dorian Price
Jonathan Goulet,Paul Georgieff
Georges St-Pierre,Matt Hughes
Chuck Liddell,Wanderlei Silva
Eddie Sanchez,Soa Palelei
Lyoto Machida,Rameau Thierry Sokoudjou
Mark Bocek,Doug Evans
James Irvin,Luiz Cane
Manvel Gamburyan,Nate Mohr
Dean Lister,Jordan Radev
Roan Carneiro,Tony DeSouza
Rich Clementi,Melvin Guillard
Marcus Davis,Jess Liaudin
BJ Penn,Joe Stevenson
Fabricio Werdum,Gabriel Gonzaga
Wilson Gouveia,Jason Lambert
Jorge Rivera,Kendall Grove
Antoni Hardonk,Colin Robinson
Paul Kelly,Paul Taylor
Alessio Sakara,James Lee
Sam Stout,Per Eklund
Mike Swick,Joshua Burkman
Patrick Cote,Drew McFedries
Thiago Tavares,Michihiro Omigawa
Nate Diaz,Alvin Robinson
Gray Maynard,Dennis Siver
Jeremy Stephens,Cole Miller
Corey Hill,Joe Veres
Matt Wiman,Justin Buchholz
Kurt Pellegrino,Alberto Crane
Nate Marquardt,Jeremy Horn
Antonio Rodrigo Nogueira,Tim Sylvia
Frank Mir,Brock Lesnar
Ricardo Almeida,Rob Yundt
Rob Emerson,Keita Nakamura
Chris Lytle,Kyle Bradley
Tim Boetsch,David Heath
Marvin Eastman,Terry Martin
Tyson Griffin,Gleison Tibau
Yushin Okami,Evan Tanner
Heath Herring,Cheick Kongo
Chris Leben,Alessio Sakara
Jon Fitch,Chris Wilson
Anderson Silva,Dan Henderson
Luigi Fioravanti,Luke Cummo
Josh Koscheck,Dustin Hazelett
Diego Sanchez,David Bielkheden
Jorge Gurgel,John Halverson
Andrei Arlovski,Jake O'Brien
Kenny Florian,Joe Lauzon
Gray Maynard,Frankie Edgar
Thiago Alves,Karo Parisyan
Matt Hamill,Tim Boetsch
Nate Diaz,Kurt Pellegrino
James Irvin,Houston Alexander
Josh Neer,Din Thomas
Marcus Aurelio,Ryan Roberts
Manvel Gamburyan,Jeff Cox
Clay Guida,Samy Schiavo
George Sotiropoulos,Roman Mitichyan
Anthony Johnson,Tommy Speer
Georges St-Pierre,Matt Serra
Rich Franklin,Travis Lutter
Nate Quarry,Kalib Starnes
Michael Bisping,Charles McCarthy
Mac Danzig,Mark Bocek
Jonathan Goulet,Kuniyoshi Hironaka
Jason Day,Alan Belcher
Demian Maia,Ed Herman
Rich Clementi,Sam Stout
Cain Velasquez,Brad Morris
Jason MacDonald,Joe Doerksen
BJ Penn,Sean Sherk
Wanderlei Silva,Keith Jardine
Goran Reljic,Wilson Gouveia
Lyoto Machida,Tito Ortiz
Thiago Silva,Antonio Mendes
Rameau Thierry Sokoudjou,Kazuhiro Nakamura
Rich Clementi,Terry Etim
Yoshiyuki Yoshida,War Machine
Dong Hyun Kim,Jason Tan
Shane Carwin,Christian Wellisch
Rousimar Palhares,Ivan Salaverry
Michael Bisping,Jason Day
Mike Swick,Marcus Davis
Thales Leites,Nate Marquardt
Fabricio Werdum,Brandon Vera
Thiago Alves,Matt Hughes
Matt Wiman,Thiago Tavares
Kevin Burns,Roan Carneiro
Luiz Cane,Jason Lambert
Paul Taylor,Jess Liaudin
Antoni Hardonk,Eddie Sanchez
Martin Kampmann,Jorge Rivera
Kendall Grove,Evan Tanner
Amir Sadollah,CB Dollaway
Diego Sanchez,Luigi Fioravanti
Spencer Fisher,Jeremy Stephens
Dustin Hazelett,Joshua Burkman
Drew McFedries,Marvin Eastman
Matt Brown,Matt Arroyo
Dean Lister,Jeremy Horn
Rob Kimmons,Rob Yundt
Matthew Riddle,Dante Rivera
Forrest Griffin,Quinton Jackson
Patrick Cote,Ricardo Almeida
Josh Koscheck,Chris Lytle
Joe Stevenson,Gleison Tibau
Gabriel Gonzaga,Justin McCully
Cole Miller,Jorge Gurgel
Melvin Guillard,Dennis Siver
Justin Buchholz,Corey Hill
Tyson Griffin,Marcus Aurelio
Brandon Vera,Reese Andy
Frankie Edgar,Hermes Franca
Cain Velasquez,Jake O'Brien
Kevin Burns,Anthony Johnson
Anderson Silva,James Irvin
Tim Credeur,Cale Yarbrough
Rory Markham,Brodie Farber
Nate Loughran,Johnny Rees
Brad Blackburn,James Giboo
Shannon Gugerty,Dale Hartt
CB Dollaway,Jesse Taylor
Georges St-Pierre,Jon Fitch
Brock Lesnar,Heath Herring
Rob Emerson,Manvel Gamburyan
Kenny Florian,Roger Huerta
Tamdan McCrory,Luke Cummo
Cheick Kongo,Dan Evensen
Jon Jones,Andre Gusmao
Chris Wilson,Steve Bruno
Ben Saunders,Ryan Thomas
Demian Maia,Jason MacDonald
Dan Henderson,Rousimar Palhares
Rashad Evans,Chuck Liddell
Rich Franklin,Matt Hamill
Nate Marquardt,Martin Kampmann
Dong Hyun Kim,Matt Brown
Kurt Pellegrino,Thiago Tavares
Tim Boetsch,Michael Patt
Jason MacDonald,Jason Lambert
Ryo Chonan,Roan Carneiro
Nate Diaz,Josh Neer
Clay Guida,Mac Danzig
Alan Belcher,Ed Herman
Alessio Sakara,Joe Vedepo
Eric Schafer,Houston Alexander
Joe Lauzon,Kyle Bradley
Jason Brilz,Brad Morris
Mike Massenzio,Drew McFedries
Dan Miller,Rob Kimmons
Wilson Gouveia,Ryan Jensen
Chris Lytle,Paul Taylor
Michael Bisping,Chris Leben
Keith Jardine,Brandon Vera
Luiz Cane,Rameau Thierry Sokoudjou
Marcus Davis,Paul Kelly
Jim Miller,David Baron
Shane Carwin,Neil Wain
David Bielkheden,Jess Liaudin
Terry Etim,Sam Stout
Per Eklund,Samy Schiavo
Dan Hardy,Akihiro Gono
Gray Maynard,Rich Clementi
Anderson Silva,Patrick Cote
Thiago Alves,Josh Koscheck
Junior Dos Santos,Fabricio Werdum
Thales Leites,Drew McFedries
Sean Sherk,Tyson Griffin
Spencer Fisher,Shannon Gugerty
Dan Miller,Matt Horwich
Hermes Franca,Marcus Aurelio
Pete Sell,Joshua Burkman
Brock Lesnar,Randy Couture
Kenny Florian,Joe Stevenson
Dustin Hazelett,Tamdan McCrory
Gabriel Gonzaga,Josh Hendricks
Demian Maia,Nate Quarry
Aaron Riley,Jorge Gurgel
Jeremy Stephens,Rafael Dos Anjos
Mark Bocek,Alvin Robinson
Matt Brown,Ryan Thomas
Josh Koscheck,Yoshiyuki Yoshida
Mike Swick,Jonathan Goulet
Steve Cantwell,Razak Al-Hassan
Tim Credeur,Nate Loughran
Dale Hartt,Corey Hill
Luigi Fioravanti,Brodie Farber
Steve Bruno,Johnny Rees
Ben Saunders,Brandon Wolff
Justin McCully,Eddie Sanchez
Jim Miller,Matt Wiman
Efrain Escudero,Phillipe Nover
Ryan Bader,Vinny Magalhaes
Anthony Johnson,Kevin Burns
Wilson Gouveia,Jason MacDonald
Junie Browning,David Kaplan
Krzysztof Soszynski,Shane Primm
Tom Lawlor,Kyle Kingsbury
Shane Nelson,George Roop
Rolando Delgado,John Polakowski
Eliot Marshall,Jules Bruchez
Frank Mir,Antonio Rodrigo Nogueira
CB Dollaway,Mike Massenzio
Quinton Jackson,Wanderlei Silva
Cheick Kongo,Mostapha Al-Turk
Rashad Evans,Forrest Griffin
Antoni Hardonk,Mike Wessel
Matt Hamill,Reese Andy
Brad Blackburn,Ryo Chonan
Pat Barry,Dan Evensen
Yushin Okami,Dean Lister
Dennis Siver,Nate Mohr
Tomasz Drwal,Ivan Serati
Eric Schafer,Antonio Mendes
Martin Kampmann,Alexandre Barros
John Hathaway,Tom Egan
Marcus Davis,Chris Lytle
Alan Belcher,Denis Kang
Rousimar Palhares,Jeremy Horn
Mauricio Rua,Mark Coleman
Dan Henderson,Rich Franklin
Lyoto Machida,Thiago Silva
Jon Jones,Stephan Bonnar
Georges St-Pierre,BJ Penn
Clay Guida,Nate Diaz
Jon Fitch,Akihiro Gono
Thiago Tavares,Manvel Gamburyan
John Howard,Chris Wilson
Jake O'Brien,Christian Wellisch
Dan Cramer,Matt Arroyo
Joe Lauzon,Jeremy Stephens
Cain Velasquez,Denis Stojnic
Josh Neer,Mac Danzig
Anthony Johnson,Luigi Fioravanti
Kurt Pellegrino,Rob Emerson
Dan Miller,Jake Rosholt
Matt Veach,Matt Grice
Gleison Tibau,Rich Clementi
Nick Catone,Derek Downey
Matthew Riddle,Steve Bruno
Diego Sanchez,Joe Stevenson
Dan Hardy,Rory Markham
Nate Marquardt,Wilson Gouveia
Demian Maia,Chael Sonnen
Paul Kelly,Troy Mandaloniz
Terry Etim,Brian Cobb
Junior Dos Santos,Stefan Struve
Evan Dunham,Per Eklund
Mike Ciesnolevicz,Neil Grove
Paulo Thiago,Josh Koscheck
Matt Hamill,Mark Munoz
Quinton Jackson,Keith Jardine
Shane Carwin,Gabriel Gonzaga
Gray Maynard,Jim Miller
Matt Brown,Pete Sell
Kendall Grove,Jason Day
Shane Nelson,Aaron Riley
Jason Brilz,Tim Boetsch
Brandon Vera,Michael Patt
Tamdan McCrory,Ryan Madigan
Martin Kampmann,Carlos Condit
Ryan Bader,Carmelo Marrero
Tyson Griffin,Rafael Dos Anjos
Cole Miller,Junie Browning
Gleison Tibau,Jeremy Stephens
Brock Larson,Jesse Sanders
Tim Credeur,Nick Catone
Jorge Rivera,Nissen Osterneck
Rob Kimmons,Joe Vedepo
Aaron Simpson,Tim McKenzie
Ricardo Almeida,Matt Horwich
Krzysztof Soszynski,Brian Stann
Anderson Silva,Thales Leites
Sam Stout,Matt Wiman
Mauricio Rua,Chuck Liddell
Cheick Kongo,Antoni Hardonk
TJ Grant,Ryo Chonan
Denis Kang,Xavier Foupa-Pokam
Nate Quarry,Jason MacDonald
Ed Herman,David Loiseau
Mark Bocek,David Bielkheden
Eliot Marshall,Vinny Magalhaes
Luiz Cane,Steve Cantwell
Chael Sonnen,Dan Miller
Lyoto Machida,Rashad Evans
Matt Hughes,Matt Serra
Drew McFedries,Xavier Foupa-Pokam
Frankie Edgar,Sean Sherk
Krzysztof Soszynski,Andre Gusmao
Tim Hague,Pat Barry
Kyle Bradley,Phillipe Nover
George Roop,David Kaplan
Yoshiyuki Yoshida,Brandon Wolff
Brock Larson,Mike Pyle
Cain Velasquez,Cheick Kongo
Mirko Filipovic,Mostapha Al-Turk
Mike Swick,Ben Saunders
Spencer Fisher,Caol Uno
Dan Hardy,Marcus Davis
Rich Franklin,Wanderlei Silva
Dennis Siver,Dale Hartt
Paul Taylor,Peter Sobotta
Paul Kelly,Rolando Delgado
Stefan Struve,Denis Stojnic
John Hathaway,Rick Story
Terry Etim,Justin Buchholz
Diego Sanchez,Clay Guida
James Wilks,DaMarques Johnson
Chris Lytle,Kevin Burns
Ross Pearson,Andre Winner
Joe Stevenson,Nate Diaz
Brad Blackburn,Edgar Garcia
Tomasz Drwal,Mike Ciesnolevicz
Nick Osipczak,Frank Lester
Jason Dent,Cameron Dollar
Melvin Guillard,Gleison Tibau
Dan Henderson,Michael Bisping
Jon Fitch,Paulo Thiago
Brock Lesnar,Frank Mir
Georges St-Pierre,Thiago Alves
Yoshihiro Akiyama,Alan Belcher
Shannon Gugerty,Matt Grice
Jim Miller,Mac Danzig
Jon Jones,Jake O'Brien
Dong Hyun Kim,TJ Grant
Tom Lawlor,CB Dollaway
Mark Coleman,Stephan Bonnar
BJ Penn,Kenny Florian
Anderson Silva,Forrest Griffin
Aaron Riley,Shane Nelson
Johny Hendricks,Amir Sadollah
Ricardo Almeida,Kendall Grove
John Howard,Tamdan McCrory
Alessio Sakara,Thales Leites
Matthew Riddle,Dan Cramer
George Sotiropoulos,George Roop
Jesse Lennox,Danillo Villefort
Kurt Pellegrino,Josh Neer
Nate Marquardt,Demian Maia
Antonio Rodrigo Nogueira,Randy Couture
Thiago Silva,Keith Jardine
Jake Rosholt,Chris Leben
Brandon Vera,Krzysztof Soszynski
Gabriel Gonzaga,Chris Tuchscherer
Evan Dunham,Marcus Aurelio
Mark Munoz,Nick Catone
Aaron Simpson,Ed Herman
Mike Russow,Justin McCully
Todd Duffee,Tim Hague
Nate Diaz,Melvin Guillard
Gray Maynard,Roger Huerta
Nate Quarry,Tim Credeur
Brian Stann,Steve Cantwell
Carlos Condit,Jake Ellenberger
CB Dollaway,Jay Silva
Jeremy Stephens,Justin Buchholz
Mike Pierce,Brock Larson
Ryan Jensen,Steve Steinbeiss
Mike Pyle,Chris Wilson
Tyson Griffin,Hermes Franca
Vitor Belfort,Rich Franklin
Junior Dos Santos,Mirko Filipovic
Paul Daley,Martin Kampmann
Josh Koscheck,Frank Trigg
Efrain Escudero,Cole Miller
Rick Story,Brian Foster
Jim Miller,Steve Lopez
Nik Lentz,Rafaello Oliveira
Eliot Marshall,Jason Brilz
Vladimir Matyushenko,Igor Pokrajac
Rafael Dos Anjos,Rob Emerson
Tomasz Drwal,Drew McFedries
Joe Stevenson,Spencer Fisher
Lyoto Machida,Mauricio Rua
Cain Velasquez,Ben Rothwell
Gleison Tibau,Josh Neer
Anthony Johnson,Yoshiyuki Yoshida
Kyle Kingsbury,Razak Al-Hassan
Pat Barry,Antoni Hardonk
Chael Sonnen,Yushin Okami
Jorge Rivera,Rob Kimmons
Stefan Struve,Chase Gormley
Ryan Bader,Eric Schafer
Randy Couture,Brandon Vera
Dan Hardy,Mike Swick
Michael Bisping,Denis Kang
Matt Brown,James Wilks
Ross Pearson,Aaron Riley
John Hathaway,Paul Taylor
Nick Osipczak,Matthew Riddle
Dennis Siver,Paul Kelly
Alexander Gustafsson,Jared Hamman
Andre Winner,Rolando Delgado
Terry Etim,Shannon Gugerty
Rogerio Nogueira,Luiz Cane
Josh Koscheck,Anthony Johnson
Paulo Thiago,Jacob Volkmann
Amir Sadollah,Phil Baroni
Forrest Griffin,Tito Ortiz
Kendall Grove,Jake Rosholt
Brian Foster,Brock Larson
George Sotiropoulos,Jason Dent
Ben Saunders,Marcus Davis
Caol Uno,Fabricio Camoes
Roy Nelson,Brendan Schaub
Matt Hamill,Jon Jones
Kevin Ferguson,Houston Alexander
Frankie Edgar,Matt Veach
Mark Bocek,Joe Brammer
James McSweeney,Darrill Schoonover
Jon Madsen,Justin Wren
Brian Stann,Rodney Wallace
John Howard,Dennis Hallman
Matt Mitrione,Marcus Jones
BJ Penn,Diego Sanchez
Frank Mir,Cheick Kongo
Jon Fitch,Mike Pierce
Kenny Florian,Clay Guida
Stefan Struve,Paul Buentello
Alan Belcher,Wilson Gouveia
Matt Wiman,Shane Nelson
Johny Hendricks,Ricardo Funch
Rousimar Palhares,Lucio Linhares
DaMarques Johnson,Edgar Garcia
TJ Grant,Kevin Burns
Rashad Evans,Thiago Silva
Paul Daley,Dustin Hazelett
Sam Stout,Joe Lauzon
Jim Miller,Duane Ludwig
Junior Dos Santos,Gilbert Yvel
Martin Kampmann,Jacob Volkmann
Cole Miller,Dan Lauzon
Mark Munoz,Ryan Jensen
Jake Ellenberger,Mike Pyle
Rafaello Oliveira,John Gunderson
Gray Maynard,Nate Diaz
Evan Dunham,Efrain Escudero
Aaron Simpson,Tom Lawlor
Amir Sadollah,Brad Blackburn
Chris Leben,Jay Silva
Thiago Tavares,Nik Lentz
Rory MacDonald,Mike Guymon
Rafael Dos Anjos,Kyle Bradley
Gerald Harris,John Salter
Nick Catone,Jesse Forbes
Rick Story,Jesse Lennox
Randy Couture,Mark Coleman
Chael Sonnen,Nate Marquardt
Paulo Thiago,Mike Swick
Demian Maia,Dan Miller
Matt Serra,Frank Trigg
Mac Danzig,Justin Buchholz
Rob Emerson,Phillipe Nover
Phil Davis,Brian Stann
Chris Tuchscherer,Tim Hague
Melvin Guillard,Ronys Torres
Joey Beltran,Rolles Gracie
Ryan Bader,Keith Jardine
Cain Velasquez,Antonio Rodrigo Nogueira
Wanderlei Silva,Michael Bisping
George Sotiropoulos,Joe Stevenson
Mirko Filipovic,Anthony Perosh
Chris Lytle,Brian Foster
CB Dollaway,Goran Reljic
James Te Huna,Igor Pokrajac
Krzysztof Soszynski,Stephan Bonnar
Jon Jones,Brandon Vera
Junior Dos Santos,Gabriel Gonzaga
Cheick Kongo,Paul Buentello
Alessio Sakara,James Irvin
Clay Guida,Shannon Gugerty
Darren Elkins,Duane Ludwig
John Howard,Daniel Roberts
Brendan Schaub,Chase Gormley
Mike Pierce,Julio Paulino
Jason Brilz,Eric Schafer
Vladimir Matyushenko,Eliot Marshall
Kurt Pellegrino,Fabricio Camoes
Georges St-Pierre,Dan Hardy
Shane Carwin,Frank Mir
Jon Fitch,Ben Saunders
Matthew Riddle,Greg Soto
Nate Diaz,Rory Markham
Ricardo Almeida,Matt Brown
Rousimar Palhares,Tomasz Drwal
Jared Hamman,Rodney Wallace
Jim Miller,Mark Bocek
Ross Pearson,Dennis Siver
Kenny Florian,Takanori Gomi
Roy Nelson,Stefan Struve
Jorge Rivera,Nate Quarry
Andre Winner,Rafaello Oliveira
Charlie Brenneman,Jason High
Nik Lentz,Rob Emerson
Gleison Tibau,Caol Uno
Yushin Okami,Lucio Linhares
Gerald Harris,Mario Miranda
Jacob Volkmann,Ronys Torres
Anderson Silva,Demian Maia
Frankie Edgar,BJ Penn
Matt Hughes,Renzo Gracie
Rafael Dos Anjos,Terry Etim
Mark Munoz,Kendall Grove
Rick Story,Nick Osipczak
DaMarques Johnson,Brad Blackburn
Paul Kelly,Matt Veach
Jon Madsen,Mostapha Al-Turk
Phil Davis,Alexander Gustafsson
Matt Mitrione,Kevin Ferguson
Josh Koscheck,Paul Daley
Jeremy Stephens,Sam Stout
Alan Belcher,Patrick Cote
Mauricio Rua,Lyoto Machida
Marcus Davis,Jonathan Goulet
Johny Hendricks,TJ Grant
Joey Beltran,Tim Hague
Mike Guymon,Yoshiyuki Yoshida
John Salter,Jason MacDonald
Joe Doerksen,Tom Lawlor
Michael Bisping,Dan Miller
Mike Russow,Todd Duffee
Rogerio Nogueira,Jason Brilz
John Hathaway,Diego Sanchez
Rashad Evans,Quinton Jackson
Efrain Escudero,Dan Lauzon
Melvin Guillard,Waylon Lowe
Cyrille Diabate,Luiz Cane
Aaron Riley,Joe Brammer
Ryan Jensen,Jesse Forbes
Dong Hyun Kim,Amir Sadollah
Rich Franklin,Chuck Liddell
Mirko Filipovic,Pat Barry
Martin Kampmann,Paulo Thiago
Ben Rothwell,Gilbert Yvel
Carlos Condit,Rory MacDonald
Evan Dunham,Tyson Griffin
Mario Miranda,David Loiseau
James Wilks,Peter Sobotta
Claude Patrick,Ricardo Funch
Mike Pyle,Jesse Lennox
Matt Wiman,Mac Danzig
Court McGee,Kris McCray
Matt Hamill,Keith Jardine
Chris Leben,Aaron Simpson
Dennis Siver,Spencer Fisher
Kyle Noke,Josh Bryant
John Gunderson,Mark Holst
Brad Tavares,Seth Baczynski
Chris Camozzi,James Hammortree
Travis Browne,James McSweeney
Rich Attonito,Jamie Yager
Brock Lesnar,Shane Carwin
Chris Lytle,Matt Brown
Stephan Bonnar,Krzysztof Soszynski
George Sotiropoulos,Kurt Pellegrino
Chris Leben,Yoshihiro Akiyama
Ricardo Romero,Seth Petruzelli
Kendall Grove,Goran Reljic
Gerald Harris,David Branch
Daniel Roberts,Forrest Petz
Jon Madsen,Karlos Vemola
Brendan Schaub,Chris Tuchscherer
Jon Jones,Vladimir Matyushenko
Yushin Okami,Mark Munoz
Jake Ellenberger,John Howard
Takanori Gomi,Tyson Griffin
Igor Pokrajac,James Irvin
Matthew Riddle,DaMarques Johnson
Brian Stann,Mike Massenzio
Charles Oliveira,Darren Elkins
Rob Kimmons,Steve Steinbeiss
Jacob Volkmann,Paul Kelly
Clay Guida,Rafael Dos Anjos
Matt Hughes,Ricardo Almeida
Anderson Silva,Chael Sonnen
Jon Fitch,Thiago Alves
Junior Dos Santos,Roy Nelson
Tim Boetsch,Todd Brown
Phil Davis,Rodney Wallace
Johny Hendricks,Charlie Brenneman
Stefan Struve,Christian Morecraft
Dennis Hallman,Ben Saunders
Rick Story,Dustin Hazelett
Frankie Edgar,BJ Penn
Randy Couture,James Toney
Demian Maia,Mario Miranda
Gray Maynard,Kenny Florian
Nate Diaz,Marcus Davis
Joe Lauzon,Gabe Ruediger
Nik Lentz,Andre Winner
Dan Miller,John Salter
Greg Soto,Nick Osipczak
Mike Pierce,Amilcar Alves
Nate Marquardt,Rousimar Palhares
Charles Oliveira,Efrain Escudero
Jim Miller,Gleison Tibau
Cole Miller,Ross Pearson
Brian Foster,Forrest Petz
Kyle Kingsbury,Jared Hamman
David Branch,Tomasz Drwal
Rich Attonito,Rafael Natal
TJ Waldburger,David Mitchell
Yves Edwards,John Gunderson
Chris Lytle,Matt Serra
Frank Mir,Mirko Filipovic
Ryan Bader,Rogerio Nogueira
Sean Sherk,Evan Dunham
Melvin Guillard,Jeremy Stephens
Matt Mitrione,Joey Beltran
Thiago Tavares,Pat Audinwood
Waylon Lowe,Steve Lopez
TJ Grant,Julio Paulino
CB Dollaway,Joe Doerksen
Sean McCorkle,Mark Hunt
Carlos Condit,Dan Hardy
Michael Bisping,Yoshihiro Akiyama
Mike Pyle,John Hathaway
Claude Patrick,James Wilks
Alexander Gustafsson,Cyrille Diabate
Rob Broughton,Vinicius Queiroz
Paul Sass,Mark Holst
Spencer Fisher,Curt Warburton
Fabio Maldonado,James McSweeney
Cheick Kongo,Travis Browne
Cain Velasquez,Brock Lesnar
Jake Shields,Martin Kampmann
Diego Sanchez,Paulo Thiago
Matt Hamill,Tito Ortiz
Brendan Schaub,Gabriel Gonzaga
Jon Madsen,Gilbert Yvel
Tom Lawlor,Patrick Cote
Daniel Roberts,Mike Guymon
Sam Stout,Paul Taylor
Chris Camozzi,Dongi Yang
Court McGee,Ryan Jensen
Dennis Siver,Andre Winner
Amir Sadollah,Peter Sobotta
Yushin Okami,Nate Marquardt
Krzysztof Soszynski,Goran Reljic
Karlos Vemola,Seth Petruzelli
Vladimir Matyushenko,Alexandre Ferreira
Pascal Krauss,Mark Scanlon
Kyle Noke,Rob Kimmons
Carlos Eduardo Rocha,Kris McCray
Duane Ludwig,Nick Osipczak
Quinton Jackson,Lyoto Machida
BJ Penn,Matt Hughes
Maiquel Falcao,Gerald Harris
Phil Davis,Tim Boetsch
George Sotiropoulos,Joe Lauzon
Mark Munoz,Aaron Simpson
Dennis Hallman,Karo Parisyan
Edson Barboza,Mike Lullo
Paul Kelly,TJ O'Brien
Nik Lentz,Tyson Griffin
Brian Foster,Matt Brown
Rick Story,Johny Hendricks
Jonathan Brookins,Michael Johnson
Stephan Bonnar,Igor Pokrajac
Demian Maia,Kendall Grove
Leonard Garcia,Nam Phan
David Branch,Rich Attonito
Ian Loveland,Tyler Toner
Kyle Watson,Sako Chivitchian
Nick Pace,Will Campuzano
Pablo Garza,Fredson Paixao
Cody McKenzie,Aaron Wilkinson
Mac Danzig,Joe Stevenson
Georges St-Pierre,Josh Koscheck
Stefan Struve,Sean McCorkle
Jim Miller,Charles Oliveira
Thiago Alves,John Howard
Jesse Bongfeldt,Rafael Natal
Mark Bocek,Dustin Hazelett
Sean Pierson,Matthew Riddle
Ricardo Almeida,TJ Grant
John Makdessi,Pat Audinwood
Dan Miller,Joe Doerksen
Brian Stann,Chris Leben
Dong Hyun Kim,Nate Diaz
Clay Guida,Takanori Gomi
Jeremy Stephens,Marcus Davis
Dustin Poirier,Josh Grispi
Diego Nunes,Mike Brown
Daniel Roberts,Greg Soto
Jacob Volkmann,Antonio McKee
Frankie Edgar,Gray Maynard
Brad Tavares,Phil Baroni
Pat Barry,Joey Beltran
Melvin Guillard,Evan Dunham
Matt Mitrione,Tim Hague
Mark Hominick,George Roop
Matt Wiman,Cole Miller
DaMarques Johnson,Mike Guymon
Chris Cariaso,Will Campuzano
Charlie Brenneman,Amilcar Alves
Yves Edwards,Cody McKenzie
Rani Yahya,Mike Brown
Waylon Lowe,Willamy Freire
Anderson Silva,Vitor Belfort
Forrest Griffin,Rich Franklin
Jon Jones,Ryan Bader
Miguel Torres,Antonio Banuelos
Jake Ellenberger,Carlos Eduardo Rocha
Chad Mendes,Michihiro Omigawa
Demetrious Johnson,Norifumi Yamamoto
Paul Taylor,Gabe Ruediger
Kyle Kingsbury,Ricardo Romero
Mike Pierce,Kenny Robertson
Donald Cerrone,Paul Kelly
Kyle Noke,Chris Camozzi
Michael Bisping,Jorge Rivera
Dennis Siver,George Sotiropoulos
Brian Ebersole,Chris Lytle
Ross Pearson,Spencer Fisher
Mark Hunt,Chris Tuchscherer
Nick Ring,Riki Fukuda
Anthony Perosh,Tom Blackledge
Zhang Tiequan,Jason Reinhardt
Curt Warburton,Maciej Jewtuszko
BJ Penn,Jon Fitch
Alexander Gustafsson,James Te Huna
Brian Bowles,Damacio Page
Diego Sanchez,Martin Kampmann
Mark Munoz,CB Dollaway
Chris Weidman,Alessio Sakara
Cyrille Diabate,Steve Cantwell
Dongi Yang,Rob Kimmons
Shane Roller,Thiago Tavares
Danny Castillo,Joe Stevenson
Igor Pokrajac,Todd Brown
Rousimar Palhares,David Branch
Takeya Mizugaki,Reuben Duran
Nate Marquardt,Dan Miller
Jon Jones,Mauricio Rua
Urijah Faber,Eddie Wineland
Jim Miller,Kamal Shalorus
Brendan Schaub,Mirko Filipovic
Luiz Cane,Eliot Marshall
Mike Pyle,Ricardo Almeida
Gleison Tibau,Kurt Pellegrino
Joseph Benavidez,Ian Loveland
Nick Catone,Constantinos Philippou
Erik Koch,Raphael Assuncao
Edson Barboza,Anthony Njokuani
Phil Davis,Rogerio Nogueira
Anthony Johnson,Dan Hardy
Amir Sadollah,DaMarques Johnson
Chan Sung Jung,Leonard Garcia
Mike Russow,Jon Madsen
John Hathaway,Kris McCray
Michael McDonald,Edwin Figueroa
Christian Morecraft,Sean McCorkle
Johny Hendricks,TJ Waldburger
Aaron Simpson,Mario Miranda
Nik Lentz,Waylon Lowe
Mackens Semerzier,Alex Caceres
Georges St-Pierre,Jake Shields
Jose Aldo,Mark Hominick
Lyoto Machida,Randy Couture
Vladimir Matyushenko,Jason Brilz
Benson Henderson,Mark Bocek
Jake Ellenberger,Sean Pierson
Claude Patrick,Daniel Roberts
Ivan Menjivar,Charlie Valencia
Jason MacDonald,Ryan Jensen
John Makdessi,Kyle Watson
Pablo Garza,Yves Jabouin
Rory MacDonald,Nate Diaz
Rick Story,Thiago Alves
Quinton Jackson,Matt Hamill
Travis Browne,Stefan Struve
Brian Stann,Jorge Santiago
Frank Mir,Roy Nelson
Tim Boetsch,Kendall Grove
Gleison Tibau,Rafaello Oliveira
Michael McDonald,Chris Cariaso
Renan Barao,Cole Escovedo
Demetrious Johnson,Miguel Torres
Clay Guida,Anthony Pettis
Ed Herman,Tim Credeur
Kyle Kingsbury,Fabio Maldonado
Chris Cope,Chuck O'Neil
Tony Ferguson,Ramsey Nijem
George Roop,Josh Grispi
Shamar Bailey,Ryan McGillivray
Clay Harvison,Justin Edwards
Scott Jorgensen,Ken Stone
Reuben Duran,Francisco Rivera
Jeremy Stephens,Danny Downes
Junior Dos Santos,Shane Carwin
Kenny Florian,Diego Nunes
Mark Munoz,Demian Maia
Dave Herman,Jon Olav Einemo
Donald Cerrone,Vagner Rocha
Krzysztof Soszynski,Mike Massenzio
Chris Weidman,Jesse Bongfeldt
Nick Ring,James Head
Dustin Poirier,Jason Young
Joey Beltran,Aaron Rosa
Darren Elkins,Michihiro Omigawa
Sam Stout,Yves Edwards
Matt Brown,John Howard
Matt Mitrione,Christian Morecraft
Cheick Kongo,Pat Barry
Tyson Griffin,Manvel Gamburyan
Charlie Brenneman,Rick Story
Joe Lauzon,Curt Warburton
